,선수,WAR,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR+,연도,포지션,생일,연봉,나이
0,강경학,0.25,52,135,113,21,27,4,0,0,31,12,1,2,15,3.0,0.0,32.0,3.0,3.0,1.0,0.239,0.341,0.274,0.615,0.297,77.6,0.25,2019,SS,1992-08-11,7800,28
1,강경학,-0.16,59,93,84,17,18,2,1,0,22,4,1,1,8,1.0,0.0,19.0,1.0,0.0,0.0,0.214,0.29,0.262,0.552,0.264,44.1,-0.16,2017,2B,1992-08-11,5800,26
2,강경학,1.38,77,289,245,42,68,11,1,5,96,27,6,3,38,4.0,0.0,59.0,7.0,1.0,1.0,0.278,0.382,0.392,0.774,0.353,101.4,1.38,2018,2B,1992-08-11,5800,27
3,강경학,0.11,120,376,311,50,80,7,4,2,101,27,4,3,40,5.0,1.0,58.0,3.0,18.0,3.0,0.257,0.348,0.325,0.6729999999999999,0.304,66.4,0.11,2015,SS,1992-08-11,6500,24
4,강경학,0.21,41,103,86,11,19,2,3,1,30,7,0,0,13,2.0,0.0,28.0,1.0,2.0,0.0,0.221,0.337,0.349,0.6859999999999999,0.316,65.6,0.21,2014,SS,1992-08-11,6500,23
5,강귀태,0.21,33,89,81,4,19,4,1,1,28,10,1,0,5,0.0,1.0,11.0,4.0,2.0,1.0,0.235,0.276,0.34600000000000003,0.622,0.277,60.3,0.21,2011,C,1979-08-12,8000,33
6,강귀태,-0.02,97,300,269,24,62,9,0,3,80,34,0,2,17,2.0,0.0,31.0,13.0,9.0,3.0,,,,,,,-0.02,2010,C,1979-08-12,10000,32
7,강동우,0.51,98,363,309,45,78,8,1,4,100,22,14,6,43,1.0,0.0,33.0,10.0,6.0,3.0,0.252,0.343,0.324,0.6659999999999999,0.313,80.8,0.51,2010,RF,1974-04-20,15000,37
8,강동우,0.66,76,290,257,35,65,16,1,2,89,22,1,2,26,0.0,0.0,21.0,5.0,5.0,2.0,0.253,0.319,0.34600000000000003,0.6659999999999999,0.311,91.2,0.66,2012,RF,1974-04-20,15000,39
9,강동우,3.77,133,599,518,83,149,13,3,13,207,51,17,15,62,2.0,1.0,71.0,9.0,12.0,4.0,0.28800000000000003,0.364,0.4,0.763,0.35100000000000003,110.8,3.77,2011,CF,1974-04-20,20000,38
10,강로한,0.74,104,306,288,38,69,15,6,4,108,25,7,1,13,3.0,0.0,107.0,3.0,1.0,1.0,0.24,0.279,0.375,0.654,0.298,77.1,0.74,2019,2B,1992-05-13,5300,28
11,강명구,0.11,72,11,10,16,1,0,0,0,1,0,15,3,1,0.0,0.0,1.0,1.0,0.0,0.0,0.1,0.182,0.1,0.282,0.152,-21.0,0.11,2012,2B,1980-10-25,6000,33
12,강명구,-0.0,55,63,58,22,11,0,1,0,13,6,11,1,4,1.0,0.0,4.0,4.0,0.0,0.0,,,,,,,-0.0,2013,2B,1980-10-25,6000,34
13,강명구,-0.01,89,66,58,22,10,1,0,1,14,5,19,4,5,0.0,0.0,16.0,0.0,2.0,1.0,,,,,,,-0.01,2011,2B,1980-10-25,6000,32
14,강명구,0.04,55,70,63,17,17,5,0,0,22,9,7,3,2,1.0,1.0,10.0,3.0,4.0,0.0,0.27,0.303,0.349,0.652,0.28,,0.04,2010,2B,1980-10-25,5300,31
15,강민국,0.28,58,94,88,12,24,0,1,0,26,7,2,0,6,0.0,0.0,17.0,2.0,0.0,0.0,0.273,0.319,0.295,0.615,0.295,72.6,0.28,2019,SS,1992-01-10,4000,28
16,강민호,1.45,98,360,310,37,71,14,2,16,137,40,1,2,33,13.0,3.0,92.0,6.0,0.0,4.0,0.229,0.325,0.442,0.767,0.336,82.7,1.45,2014,C,1985-08-18,100000,30
17,강민호,5.0,116,460,381,65,123,26,0,20,209,72,4,0,66,10.0,4.0,91.0,7.0,0.0,3.0,0.32299999999999995,0.433,0.5489999999999999,0.981,0.434,147.7,5.0,2016,C,1985-08-18,100000,32
18,강민호,5.0,119,454,400,41,109,21,0,19,187,66,0,1,44,8.0,2.0,97.0,9.0,0.0,2.0,0.273,0.355,0.468,0.8220000000000001,0.38,139.2,5.0,2012,C,1985-08-18,55000,28
19,강민호,5.38,124,506,450,63,130,25,2,19,216,66,4,6,47,8.0,2.0,81.0,18.0,0.0,1.0,0.289,0.366,0.48,0.846,0.388,135.2,5.38,2011,C,1985-08-18,30000,27
20,강민호,3.51,130,515,456,62,130,22,1,22,220,68,0,2,41,15.0,6.0,104.0,15.0,0.0,3.0,0.285,0.361,0.482,0.8440000000000001,0.3670000000000001,110.8,3.51,2017,C,1985-08-18,100000,33
21,강민호,1.83,112,393,346,36,81,20,0,13,140,45,0,0,33,9.0,2.0,76.0,9.0,2.0,3.0,0.234,0.315,0.405,0.7190000000000001,0.327,92.2,1.83,2019,C,1985-08-18,125000,35
22,강민호,5.04,117,465,410,66,125,19,1,23,215,72,2,7,42,8.0,1.0,65.0,16.0,0.0,5.0,0.305,0.376,0.524,0.901,0.4,138.5,5.04,2010,C,1985-08-18,20000,26
23,강민호,5.23,123,456,380,63,118,18,1,35,243,86,0,0,60,14.0,2.0,112.0,14.0,0.0,2.0,0.311,0.421,0.639,1.061,0.451,164.9,5.23,2015,C,1985-08-18,100000,31
24,강민호,1.97,129,477,427,46,115,14,0,22,195,71,0,0,29,14.0,5.0,96.0,11.0,0.0,7.0,0.269,0.331,0.457,0.7879999999999999,0.337,90.2,1.97,2018,C,1985-08-18,100000,34
25,강민호,3.09,105,405,327,48,77,13,0,11,123,57,4,1,60,11.0,3.0,87.0,5.0,1.0,6.0,0.235,0.366,0.376,0.743,0.35100000000000003,106.0,3.09,2013,C,1985-08-18,100000,29
26,강백호,4.74,117,504,437,72,147,29,1,13,217,65,9,5,61,2.0,4.0,87.0,11.0,0.0,4.0,0.336,0.417,0.4970000000000001,0.913,0.415,157.4,4.74,2019,RF,1999-07-29,21000,21
27,강백호,2.1,138,585,527,108,153,32,2,29,276,84,3,5,52,3.0,0.0,124.0,4.0,0.0,3.0,0.29,0.35600000000000004,0.524,0.879,0.375,115.3,2.1,2018,LF,1999-07-29,2700,20
28,강병식,1.41,107,300,251,32,72,9,1,9,110,30,2,2,34,11.0,2.0,51.0,5.0,1.0,3.0,0.287,0.391,0.438,0.83,0.379,125.3,1.41,2010,DH,1977-04-23,8000,34
29,강봉규,0.02,32,99,82,11,17,5,0,0,22,5,3,0,14,,,,,,,,,,,,,,2013,LF,1978-01-12,15000,36
30,강봉규,0.83,89,279,232,38,55,12,0,4,79,26,8,0,40,2.0,0.0,44.0,8.0,4.0,1.0,0.237,0.353,0.341,0.693,0.327,90.0,0.83,2010,LF,1978-01-12,11000,33
31,강봉규,1.11,102,274,235,30,60,10,1,6,90,38,5,3,28,2.0,1.0,49.0,5.0,3.0,6.0,0.255,0.332,0.383,0.715,0.331,104.5,1.11,2012,LF,1978-01-12,15000,35
32,강봉규,0.58,52,168,146,14,39,7,1,1,51,18,3,1,17,2.0,0.0,24.0,3.0,0.0,2.0,0.267,0.34700000000000003,0.349,0.6970000000000001,0.331,97.2,0.58,2011,LF,1978-01-12,15000,34
33,강상원,-0.07,33,14,14,7,3,1,0,0,4,1,0,0,0,0.0,0.0,5.0,0.0,0.0,0.0,0.214,0.214,0.28600000000000003,0.5,0.222,16.8,-0.07,2017,LF,1997-05-05,"900,000-",21
34,강승호,-0.02,69,212,184,14,47,10,0,3,66,31,1,1,18,3.0,0.0,57.0,2.0,6.0,1.0,,,,,,,-0.02,2018,2B,1994-02-09,3500,25
35,강승호,-0.08,85,268,248,42,62,14,2,5,95,31,2,2,7,3.0,0.0,67.0,5.0,3.0,7.0,0.25,0.272,0.383,0.655,0.282,58.8,-0.08,2017,2B,1994-02-09,3500,24
36,강정호,4.79,133,522,449,60,135,30,2,12,205,58,2,2,61,7.0,6.0,87.0,14.0,3.0,2.0,0.301,0.391,0.457,0.848,0.383,127.6,4.79,2010,SS,1987-04-05,16000,24
37,강정호,5.55,126,532,450,67,131,21,1,22,220,96,15,8,68,6.0,3.0,109.0,18.0,2.0,6.0,0.29100000000000004,0.387,0.489,0.8759999999999999,0.398,138.0,5.55,2013,SS,1987-04-05,30000,27
38,강정호,3.43,123,504,444,53,125,22,2,9,178,63,4,6,43,9.0,4.0,62.0,12.0,3.0,5.0,0.282,0.353,0.401,0.754,0.349,109.4,3.43,2011,SS,1987-04-05,18000,25
39,강정호,8.05,117,501,418,103,149,36,2,40,309,117,3,3,68,13.0,2.0,106.0,8.0,0.0,2.0,0.35600000000000004,0.459,0.7390000000000001,1.198,0.5,185.6,8.05,2014,SS,1987-04-05,30000,28
