,선수,WAR,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR+,연도,포지션,생일
1,이대호,8.82,127,552,478,99,174,13,0,44,319,133,0,2,61,10.0,6.0,77.0,15.0,0.0,3.0,0.364,0.444,0.667,1.111,0.48200000000000004,192.4,8.82,2010,3B,1982-06-21
2,강정호,8.23,124,519,436,77,137,32,0,25,244,82,21,5,71,6.0,8.0,78.0,16.0,1.0,5.0,0.314,0.413,0.56,0.973,0.43799999999999994,179.8,8.23,2012,SS,1987-04-05
3,강정호,8.05,117,501,418,103,149,36,2,40,309,117,3,3,68,13.0,2.0,106.0,8.0,0.0,2.0,0.35600000000000004,0.45899999999999996,0.7390000000000001,1.198,0.5,185.6,8.05,2014,SS,1987-04-05
4,박석민,7.89,127,549,443,79,138,19,3,23,232,91,2,3,72,27.0,5.0,83.0,8.0,2.0,5.0,0.312,0.433,0.524,0.9570000000000001,0.43799999999999994,179.9,7.89,2012,3B,1985-06-22
5,박병호,7.76,140,622,528,129,181,35,1,53,377,146,10,3,78,12.0,6.0,161.0,10.0,0.0,4.0,0.34299999999999997,0.436,0.7140000000000001,1.15,0.48100000000000004,181.9,7.76,2015,1B,1986-07-10
6,최형우,7.75,138,618,519,99,195,46,2,31,338,144,2,2,83,9.0,8.0,83.0,12.0,0.0,7.0,0.376,0.46399999999999997,0.6509999999999999,1.1159999999999999,0.48,177.8,7.75,2016,LF,1983-12-16
7,최형우,7.64,133,571,480,80,163,37,3,30,296,118,4,3,76,5.0,15.0,88.0,8.0,0.0,10.0,0.34,0.42700000000000005,0.617,1.044,0.457,182.2,7.64,2011,LF,1983-12-16
8,서건창,7.63,128,616,543,135,201,41,17,7,297,67,48,17,59,8.0,0.0,47.0,1.0,4.0,2.0,0.37,0.43799999999999994,0.547,0.985,0.43700000000000006,150.9,7.63,2014,2B,1989-08-22
9,김재환,7.46,144,636,544,110,185,34,2,35,328,115,4,1,81,7.0,10.0,123.0,8.0,0.0,4.0,0.34,0.429,0.603,1.032,0.44,170.9,7.46,2017,LF,1988-09-22
10,최정,7.29,130,553,474,85,142,33,1,26,255,84,20,8,49,21.0,7.0,98.0,8.0,3.0,6.0,0.3,0.386,0.5379999999999999,0.9229999999999999,0.41600000000000004,164.7,7.29,2012,3B,1987-02-28
11,김하성,7.17,139,625,540,112,166,38,2,19,265,104,33,4,70,7.0,4.0,80.0,12.0,1.0,7.0,0.307,0.389,0.491,0.88,0.397,145.7,7.17,2019,SS,1995-10-17
12,최정,7.11,120,525,434,75,137,18,0,28,239,83,24,8,64,24.0,9.0,109.0,10.0,1.0,2.0,0.316,0.429,0.551,0.98,0.441,167.3,7.11,2013,3B,1987-02-28
13,박병호,7.02,128,556,450,91,143,17,0,37,271,117,10,2,92,8.0,4.0,96.0,7.0,0.0,6.0,0.318,0.43700000000000006,0.602,1.0390000000000001,0.462,181.1,7.02,2013,1B,1986-07-10
14,박건우,7.01,131,543,483,91,177,40,2,20,281,78,20,3,41,10.0,2.0,64.0,15.0,5.0,4.0,0.366,0.424,0.5820000000000001,1.006,0.433,163.8,7.01,2017,CF,1990-09-08
15,김태균,6.97,126,513,416,61,151,24,0,16,223,80,3,1,81,11.0,8.0,69.0,11.0,0.0,5.0,0.363,0.474,0.536,1.01,0.46299999999999997,195.6,6.97,2012,1B,1982-05-29
16,김재환,6.94,139,602,527,104,176,36,1,44,346,133,2,0,59,9.0,4.0,134.0,6.0,0.0,7.0,0.33399999999999996,0.405,0.657,1.062,0.43799999999999994,168.8,6.94,2018,LF,1988-09-22
17,이대호,6.89,133,570,493,76,176,26,1,27,285,113,2,0,63,8.0,8.0,60.0,22.0,0.0,6.0,0.35700000000000004,0.433,0.578,1.011,0.455,180.0,6.89,2011,1B,1982-06-21
18,김현수,6.7,141,630,512,103,167,26,0,28,277,121,11,5,101,8.0,12.0,63.0,13.0,0.0,9.0,0.326,0.43799999999999994,0.541,0.9790000000000001,0.42700000000000005,163.2,6.7,2015,LF,1988-01-12
19,양의지,6.69,118,459,390,61,138,26,0,20,224,68,4,3,48,15.0,4.0,43.0,13.0,0.0,6.0,0.354,0.43799999999999994,0.574,1.012,0.452,179.8,6.69,2019,C,1987-06-05
20,최형우,6.66,142,629,514,98,176,36,3,26,296,120,0,1,96,11.0,8.0,82.0,15.0,0.0,8.0,0.342,0.45,0.5760000000000001,1.026,0.442,163.5,6.66,2017,LF,1983-12-16
21,박병호,6.62,113,488,400,88,138,20,0,43,287,112,0,1,68,17.0,10.0,114.0,9.0,0.0,3.0,0.345,0.457,0.718,1.175,0.478,190.9,6.62,2018,1B,1986-07-10
22,최정,6.56,130,527,430,89,136,18,1,46,294,113,1,5,70,19.0,10.0,107.0,8.0,0.0,8.0,0.316,0.42700000000000005,0.684,1.111,0.456,167.6,6.56,2017,3B,1987-02-28
23,박병호,6.51,133,560,469,76,136,34,0,31,263,105,20,9,73,11.0,3.0,111.0,6.0,0.0,7.0,0.29,0.39299999999999996,0.561,0.9540000000000001,0.43,174.5,6.51,2012,1B,1986-07-10
25,양의지,6.42,133,503,439,84,157,29,1,23,257,77,6,0,45,13.0,6.0,40.0,13.0,0.0,6.0,0.358,0.42700000000000005,0.585,1.013,0.431,160.5,6.42,2018,C,1987-06-05
26,최정,6.32,141,606,503,86,147,27,0,29,261,99,3,2,69,26.0,6.0,92.0,4.0,0.0,8.0,0.292,0.39899999999999997,0.519,0.9179999999999999,0.41100000000000003,148.9,6.32,2019,3B,1987-02-28
28,손아섭,6.26,122,570,483,105,175,25,3,18,260,80,10,3,80,5.0,7.0,78.0,7.0,0.0,2.0,0.36200000000000004,0.456,0.5379999999999999,0.9940000000000001,0.44299999999999995,154.6,6.26,2014,RF,1988-03-18
29,박병호,6.23,128,571,459,126,139,16,2,52,315,124,8,3,96,12.0,3.0,142.0,13.0,0.0,4.0,0.303,0.433,0.6859999999999999,1.119,0.466,162.9,6.23,2014,1B,1986-07-10
32,나성범,6.06,123,536,477,88,157,28,5,30,285,101,14,5,42,15.0,2.0,128.0,4.0,1.0,1.0,0.32899999999999996,0.4,0.597,0.998,0.429,146.2,6.06,2014,CF,1989-10-03
33,손아섭,6.04,128,568,498,83,172,23,4,11,236,69,36,7,64,3.0,6.0,88.0,9.0,0.0,3.0,0.345,0.42100000000000004,0.474,0.895,0.415,148.9,6.04,2013,RF,1988-03-18
35,조인성,5.96,133,511,457,69,145,24,1,28,255,107,2,0,41,3.0,8.0,83.0,19.0,5.0,5.0,0.317,0.374,0.5579999999999999,0.932,0.401,140.0,5.96,2010,C,1975-05-25
36,유한준,5.87,139,598,520,103,188,42,1,23,301,116,3,3,67,2.0,2.0,71.0,13.0,1.0,8.0,0.36200000000000004,0.431,0.579,1.0090000000000001,0.44,157.6,5.87,2015,RF,1981-07-01
37,박용택,5.86,127,556,499,82,152,34,3,11,225,76,30,8,42,7.0,1.0,66.0,9.0,1.0,7.0,0.305,0.36200000000000004,0.451,0.813,0.377,136.9,5.86,2012,CF,1979-04-21
38,박석민,5.85,117,474,396,61,126,24,0,18,204,76,4,2,54,21.0,1.0,73.0,13.0,0.0,2.0,0.318,0.425,0.515,0.94,0.43200000000000005,162.0,5.85,2013,3B,1985-06-22
